listing_id,seller_id,category,price,rating,in_stock
1,241,Electronics,71.5,3.91,1
2,45,Beauty,64.5,4.73,1
3,45,Toys,32.68,4.46,1
4,6,Beauty,45.93,4.14,1
5,32,Electronics,26.05,4.21,1
6,176,Home,20.63,3.79,0
7,289,Sports,6.0,4.79,1
8,149,Toys,37.78,4.7,1
9,256,Home,56.26,5.0,1
10,131,Electronics,35.19,3.68,1
11,62,Toys,23.55,3.6,1
12,94,Beauty,20.97,4.31,1
13,53,Electronics,36.43,4.18,1
14,200,Home,32.91,4.36,1
15,288,Beauty,61.99,4.13,1
16,229,Toys,46.75,4.87,1
17,27,Toys,49.21,3.73,1
18,22,Toys,16.91,3.78,1
19,278,Electronics,34.48,4.18,1
20,211,Sports,67.7,4.42,1
21,81,Electronics,33.45,4.52,1
22,186,Beauty,57.52,3.67,1
23,214,Beauty,35.81,4.52,1
24,175,Sports,20.43,3.79,1
25,223,Home,53.92,3.94,1
26,236,Home,53.66,4.37,1
27,121,Sports,33.82,3.93,1
28,97,Home,18.0,4.41,1
29,21,Sports,54.8,3.7,1
30,115,Sports,20.22,4.14,1
31,79,Sports,12.63,5.0,1
32,137,Sports,44.87,4.51,1
33,95,Beauty,38.36,4.15,1
34,310,Sports,14.5,3.78,1
35,89,Beauty,75.43,4.03,1
36,92,Beauty,60.24,4.65,0
37,79,Beauty,53.04,4.03,1
38,189,Home,54.04,3.51,1
39,219,Home,71.43,3.55,1
40,223,Home,67.88,3.68,1
41,125,Toys,77.37,4.67,1
42,165,Home,73.92,4.41,1
43,246,Home,48.31,3.95,1
44,194,Electronics,76.63,4.48,1
45,59,Beauty,56.8,4.9,0
46,239,Home,26.29,4.75,1
47,182,Sports,49.9,4.02,1
48,110,Beauty,46.6,4.16,0
49,287,Home,84.78,4.26,1
50,82,Toys,34.11,4.72,1
51,140,Electronics,38.19,4.6,1
52,102,Sports,10.82,4.64,1
53,272,Electronics,40.09,4.24,1
54,125,Sports,45.55,3.78,1
55,306,Sports,12.89,3.63,0
56,36,Sports,6.0,4.64,1
57,46,Home,8.74,3.69,1
58,308,Beauty,55.32,3.34,0
59,205,Home,71.78,4.3,1
60,302,Sports,87.02,3.91,1
61,147,Sports,46.18,4.19,0
62,162,Sports,66.93,4.44,1
63,172,Sports,67.37,4.34,1
64,73,Beauty,63.85,4.07,0
65,244,Home,56.96,3.92,0
66,88,Beauty,41.32,4.64,1
67,192,Beauty,6.57,4.1,1
68,40,Sports,38.72,4.67,1
69,301,Beauty,27.01,4.53,1
70,277,Toys,58.36,3.89,1
71,86,Electronics,35.8,5.0,1
72,175,Beauty,8.49,4.03,1
73,301,Beauty,6.0,4.25,1
74,283,Toys,22.09,4.38,0
75,198,Electronics,32.27,3.91,1
76,88,Toys,61.6,3.8,1
77,170,Home,23.48,4.71,1
78,92,Home,58.93,4.1,1
79,138,Home,39.57,4.69,1
80,247,Beauty,33.43,5.0,1
81,112,Sports,47.73,4.05,1
82,68,Beauty,66.31,3.96,1
83,247,Toys,30.64,4.42,1
84,59,Beauty,51.07,3.77,0
85,150,Beauty,60.22,4.51,1
86,149,Electronics,19.55,4.67,1
87,268,Electronics,32.6,4.5,1
88,310,Home,32.34,5.0,1
89,157,Electronics,36.32,3.78,1
90,134,Home,70.2,4.26,1
91,274,Sports,39.02,3.48,1
92,11,Electronics,44.51,4.38,0
93,76,Home,47.2,3.59,1
94,160,Toys,62.44,3.71,0
95,100,Electronics,6.0,4.2,1
96,187,Home,61.66,3.7,1
97,82,Home,56.82,4.69,0
98,12,Electronics,20.49,4.8,1
99,296,Sports,23.19,4.11,1
100,43,Toys,62.1,4.26,1
101,199,Beauty,11.94,3.19,1
102,227,Home,39.0,4.29,1
103,32,Sports,71.89,4.45,1
104,12,Toys,52.46,4.9,1
105,178,Home,20.78,5.0,1
106,248,Beauty,15.29,4.47,0
107,120,Beauty,14.12,4.38,1
108,15,Toys,19.96,4.13,1
109,147,Home,6.0,4.49,1
110,222,Electronics,40.06,4.2,0
111,286,Sports,26.22,4.87,0
112,208,Toys,38.02,4.9,1
113,250,Electronics,45.45,4.33,1
114,11,Toys,11.79,4.27,1
115,179,Electronics,30.61,4.11,1
116,275,Home,41.14,4.53,1
117,218,Electronics,6.0,4.96,1
118,146,Electronics,65.4,4.09,1
119,245,Beauty,12.51,4.02,1
120,180,Beauty,28.55,4.22,1
121,303,Electronics,29.68,4.93,1
122,77,Home,61.14,4.63,1
123,273,Sports,15.53,3.33,1
124,35,Home,11.34,4.41,1
125,201,Home,43.31,4.47,1
126,131,Home,70.32,4.94,1
127,52,Beauty,6.0,4.43,1
128,204,Electronics,64.4,3.19,1
129,282,Toys,37.98,4.27,1
130,138,Sports,27.98,2.95,1
131,237,Electronics,15.9,4.55,1
132,128,Sports,53.05,3.85,1
133,129,Electronics,38.14,3.86,1
134,197,Beauty,51.87,3.81,1
135,43,Electronics,48.01,3.35,1
136,3,Electronics,6.0,3.52,0
137,165,Home,45.57,4.04,1
138,276,Electronics,27.33,4.48,1
139,97,Toys,30.41,5.0,1
140,196,Toys,26.86,4.43,1
141,100,Home,26.62,5.0,1
142,127,Toys,51.54,3.7,1
143,220,Sports,30.48,4.91,1
144,233,Sports,23.58,4.0,0
145,36,Sports,43.7,4.43,0
146,284,Sports,36.47,4.41,1
147,95,Sports,26.13,4.17,1
148,241,Home,21.44,3.86,1
149,202,Electronics,28.9,4.78,1
150,223,Beauty,28.2,4.56,1
151,98,Home,7.0,3.81,1
152,150,Electronics,6.0,4.34,1
153,38,Electronics,61.73,4.05,1
154,112,Sports,65.75,4.59,1
155,123,Home,33.52,4.16,1
156,310,Beauty,45.24,4.5,1
157,192,Electronics,54.94,4.73,1
158,1,Home,90.54,5.0,1
159,22,Beauty,29.31,4.55,1
160,82,Beauty,37.12,4.26,1
161,139,Sports,34.45,4.45,1
162,261,Beauty,61.87,4.84,1
163,169,Electronics,46.14,3.39,1
164,303,Electronics,68.08,4.47,1
165,201,Electronics,43.22,4.46,1
166,138,Toys,6.0,4.42,1
167,202,Electronics,29.41,3.8,0
168,236,Beauty,34.51,4.44,1
169,39,Sports,31.05,3.75,0
170,36,Sports,51.53,5.0,1
171,293,Electronics,31.11,3.77,1
172,164,Beauty,64.86,4.65,1
173,9,Beauty,6.0,4.18,1
174,275,Beauty,6.0,4.33,1
175,230,Toys,42.29,4.24,1
176,93,Toys,6.0,3.97,0
177,288,Home,6.81,4.61,1
178,39,Sports,35.99,4.02,1
179,297,Electronics,43.98,4.19,1
180,243,Home,40.63,4.42,1
181,232,Electronics,25.79,4.74,1
182,31,Toys,56.45,4.11,1
183,267,Electronics,6.0,4.0,1
184,112,Home,50.13,3.75,0
185,182,Beauty,71.03,4.38,1
186,238,Sports,44.9,4.03,1
187,263,Home,6.0,4.1,1
188,105,Electronics,60.58,4.45,1
189,179,Home,16.56,4.24,1
190,188,Toys,41.02,4.37,1
191,315,Sports,99.66,3.74,0
192,81,Home,11.18,4.35,1
