sale_date,listing_id,units_sold,seller_id,price,rating,in_stock,category,revenue
2025-05-16,554,2,9,64.69,3.51,1,Sports,129.38
2025-06-06,771,1,264,52.01,4.7,1,Sports,70.21
2025-11-05,334,3,205,47.23,4.74,1,Beauty,191.28
2025-01-22,1340,1,223,83.65,4.21,1,Sports,83.65
2025-01-13,1515,2,24,18.55,4.3,1,Beauty,37.1
2025-03-05,329,3,246,36.15,3.07,1,Sports,108.45
2025-05-31,1100,1,36,35.23,4.05,0,Electronics,0.0
2025-03-29,722,1,229,71.24,4.95,1,Beauty,96.17
2025-08-04,1672,2,233,65.96,4.12,1,Toys,131.92
2025-04-22,1509,2,83,43.52,4.33,1,Home,87.04
2025-12-09,878,2,6,44.47,3.72,1,Toys,88.94
2025-05-04,1728,1,109,31.73,3.37,1,Sports,31.73
2025-12-09,263,2,139,28.33,3.95,1,Electronics,56.66
2025-03-09,1772,1,76,10.71,4.07,1,Electronics,10.71
2025-05-15,903,1,315,53.37,4.53,1,Home,72.05
2025-03-26,1063,1,82,37.67,4.29,1,Electronics,37.67
2025-11-16,1247,1,159,59.12,4.56,1,Home,79.81
2025-11-20,1406,1,289,70.83,3.63,1,Electronics,70.83
2025-11-30,1351,1,146,26.86,4.13,1,Toys,26.86
2025-02-19,1609,2,112,8.56,4.29,1,Beauty,17.12
2025-11-28,1193,1,285,18.84,4.2,1,Beauty,18.84
2025-12-24,1724,3,224,72.53,3.88,1,Beauty,217.59
2025-03-24,1746,3,264,40.64,5.0,1,Beauty,164.59
2025-09-29,163,1,169,46.14,3.39,1,Electronics,46.14
2025-06-09,873,2,124,7.79,4.79,0,Sports,0.0
2025-03-23,1167,1,206,19.95,4.05,1,Home,19.95
2025-09-02,567,2,283,37.33,4.37,1,Home,74.66
2025-06-08,733,2,227,47.97,4.34,1,Beauty,95.94
2025-05-11,227,2,4,41.27,3.64,1,Sports,82.54
2025-02-27,179,3,297,43.98,4.19,1,Electronics,131.94
2025-03-07,1419,3,264,27.23,3.58,1,Beauty,81.69
2025-08-02,727,2,307,38.01,4.34,1,Sports,76.02
2025-10-15,1644,2,189,51.54,4.82,1,Sports,139.16
2025-11-29,365,3,10,29.36,4.35,1,Home,88.08
2025-08-01,1737,1,288,40.0,5.0,1,Toys,54.0
2025-04-15,764,2,221,45.9,3.94,1,Toys,91.8
2025-08-24,1054,3,239,31.52,3.82,1,Electronics,94.56
2025-02-23,1355,1,97,74.29,4.29,1,Home,74.29
2025-04-29,1632,1,44,57.02,4.8,1,Beauty,76.98
2025-05-27,662,1,255,71.76,4.21,1,Beauty,71.76
2025-10-25,1034,3,222,61.68,3.73,1,Toys,185.04
2025-12-24,1381,3,124,18.9,4.48,0,Sports,0.0
2025-11-27,841,3,156,55.06,4.55,1,Electronics,222.99
2025-03-14,1617,1,25,8.72,4.39,1,Home,8.72
2025-01-25,148,1,241,21.44,3.86,1,Home,21.44
2025-08-27,380,3,308,39.23,4.85,1,Beauty,158.88
